     0.000000E+00   -0.255458E+01    0.287695E-07             NaN             NaN
     0.100000E-03   -0.255458E+01    0.209656E-04       -Infinity             NaN
     0.200000E-03   -0.255458E+01    0.419217E-04             NaN             NaN
     0.300000E-03   -0.255458E+01    0.628809E-04       +Infinity             NaN
     0.400000E-03   -0.255458E+01    0.838434E-04       -Infinity             NaN
     0.500000E-03   -0.255458E+01    0.104810E-03       -Infinity             NaN
     0.600000E-03   -0.255458E+01    0.125780E-03             NaN             NaN
     0.700000E-03   -0.255458E+01    0.146754E-03             NaN             NaN
     0.800000E-03   -0.255458E+01    0.167733E-03             NaN             NaN
     0.900000E-03   -0.255458E+01    0.188717E-03             NaN             NaN
     0.100000E-02   -0.255458E+01    0.209706E-03       +Infinity             NaN
     0.110000E-02   -0.255458E+01    0.230701E-03       +Infinity             NaN
     0.120000E-02   -0.255458E+01    0.251701E-03       -Infinity             NaN
     0.130000E-02   -0.255458E+01    0.272708E-03             NaN             NaN
     0.140000E-02   -0.255458E+01    0.293721E-03             NaN             NaN
     0.150000E-02   -0.255458E+01    0.314741E-03             NaN             NaN
     0.160000E-02   -0.255458E+01    0.335768E-03             NaN             NaN
     0.170000E-02   -0.255458E+01    0.356803E-03       -Infinity             NaN
     0.180000E-02   -0.255458E+01    0.377846E-03       -Infinity             NaN
     0.190000E-02   -0.255458E+01    0.398897E-03             NaN             NaN
     0.200000E-02   -0.255458E+01    0.419957E-03             NaN             NaN
     0.210000E-02   -0.255458E+01    0.441027E-03             NaN             NaN
     0.220000E-02   -0.255458E+01    0.462106E-03       +Infinity             NaN
     0.230000E-02   -0.255458E+01    0.483195E-03       -Infinity             NaN
     0.240000E-02   -0.255458E+01    0.504295E-03             NaN             NaN
     0.250000E-02   -0.255458E+01    0.525406E-03             NaN             NaN
     0.260000E-02   -0.255458E+01    0.546529E-03             NaN             NaN
     0.270000E-02   -0.255458E+01    0.567665E-03             NaN             NaN
     0.280000E-02   -0.255458E+01    0.588813E-03       -Infinity             NaN
     0.290000E-02   -0.255458E+01    0.609975E-03       -Infinity             NaN
     0.300000E-02   -0.255458E+01    0.631151E-03             NaN             NaN
     0.310000E-02   -0.255458E+01    0.652342E-03       +Infinity             NaN
     0.320000E-02   -0.255458E+01    0.673549E-03       +Infinity             NaN
     0.330000E-02   -0.255458E+01    0.694772E-03             NaN             NaN
     0.340000E-02   -0.255458E+01    0.716014E-03             NaN             NaN
     0.350000E-02   -0.255458E+01    0.737273E-03             NaN             NaN
     0.360000E-02   -0.255458E+01    0.758552E-03             NaN             NaN
